verb,telicity,perfectivity,iterativity,mannspec,part1,part2,part3,part4,part5,part6,part7,part8,part9,part10,part11,part12,part13,part14,part15,part16,part17,part18,part19,part20,part21,part22,part23,part24,part25,part26,part27,part28,part29,part30
behead,telic,imperf,noiter,spec,7,1,4,4,1,5,3,3,7,2,5,5,2,5,5,7,1,6,5,2,3,1,1,2,2,2,4,5,4,1
behead,telic,imperf,iter,spec,7,2,7,7,2,4,5,5,7,4,7,5,3,5,6,7,7,6,5,6,3,1,3,2,2,3,5,7,1,2
behead,telic,perf,noiter,spec,1,1,4,4,1,1,3,1,3,4,6,5,5,5,5,7,1,5,5,2,3,1,1,2,2,2,4,1,1,2
behead,telic,perf,iter,spec,7,6,7,6,7,5,7,7,7,7,7,5,5,3,6,7,7,5,6,2,3,1,1,3,5,4,5,1,1,1
break,telic,imperf,noiter,nospec,1,2,1,1,1,4,2,1,1,4,2,1,2,6,3,7,1,4,5,2,3,7,1,4,7,4,4,1,1,1
break,telic,imperf,iter,nospec,2,2,1,1,1,1,2,1,1,3,4,1,5,6,4,7,3,2,4,2,3,1,2,3,7,3,1,2,1,1
break,telic,perf,noiter,nospec,1,2,1,4,1,1,2,1,1,4,3,1,2,5,1,7,1,1,3,2,3,1,4,5,7,3,1,1,2,5
break,telic,perf,iter,nospec,1,5,1,1,1,1,2,1,1,3,7,1,3,2,3,7,1,2,2,4,3,1,3,5,5,4,1,2,1,1
build,telic,imperf,noiter,nospec,6,4,7,7,7,6,3,6,7,4,7,5,5,7,5,7,7,7,5,3,1,1,4,5,5,6,4,6,3,2
build,telic,imperf,iter,nospec,7,6,7,7,7,6,7,7,7,5,7,5,7,7,7,7,7,7,7,7,7,7,3,6,6,7,6,7,2,7
build,telic,perf,noiter,nospec,6,1,1,5,2,2,2,3,5,1,4,4,3,2,7,7,1,2,5,2,3,1,1,3,3,2,2,6,2,1
build,telic,perf,iter,nospec,7,4,4,5,7,4,6,5,7,4,7,1,5,2,5,7,7,4,5,5,3,1,4,3,3,2,5,5,2,2
chop,telic,imperf,noiter,spec,5,7,7,6,3,7,5,7,7,5,7,7,6,7,5,7,7,7,7,4,6,7,6,5,6,5,4,7,4,2
chop,telic,imperf,iter,spec,5,7,7,7,2,7,7,5,7,5,7,6,7,7,5,7,7,6,7,6,7,7,7,5,7,7,6,7,4,7
chop,telic,perf,noiter,spec,1,1,7,4,5,2,3,3,7,3,6,5,3,6,5,7,7,4,6,5,3,7,4,4,6,4,6,5,1,1
chop,telic,perf,iter,spec,6,7,7,5,5,4,7,4,7,5,7,6,5,3,5,7,7,6,6,7,3,7,2,3,4,4,4,7,5,2
clean,atelic,imperf,noiter,nospec,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
clean,atelic,imperf,iter,nospec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7
clean,atelic,perf,noiter,nospec,7,6,7,6,7,7,5,7,7,6,7,7,7,7,7,7,7,6,6,7,5,7,6,6,7,7,5,7,5,7
clean,atelic,perf,iter,nospec,7,5,7,7,7,7,5,7,7,6,7,7,7,7,7,7,7,6,6,7,7,7,7,6,7,3,7,7,6,7
cook,atelic,imperf,noiter,nospec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7
cook,atelic,imperf,iter,nospec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7
cook,atelic,perf,noiter,nospec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,7,5,7,7,5,7,6,7,7,5,7
cook,atelic,perf,iter,nospec,7,5,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,6,7,7,6,7,7,6,7,3,6,7,6,7
cut,atelic,imperf,noiter,nospec,2,6,4,7,7,6,5,5,7,5,7,6,7,7,5,7,7,6,7,7,6,7,4,5,7,4,5,7,5,2
cut,atelic,imperf,iter,nospec,2,7,7,7,7,6,7,6,7,5,7,5,2,7,5,7,7,5,5,7,3,2,5,5,7,3,5,7,5,2
cut,atelic,perf,noiter,nospec,1,2,4,4,2,4,2,4,2,3,6,5,4,5,4,7,1,5,6,4,2,3,4,5,6,3,5,1,1,2
cut,atelic,perf,iter,nospec,4,6,7,5,2,5,5,4,7,3,7,6,5,6,5,7,7,5,5,6,2,3,3,2,6,3,4,5,1,2
devour,telic,imperf,noiter,spec,5,1,4,4,5,2,3,1,2,2,6,1,4,2,5,7,1,5,5,1,3,1,1,2,2,1,4,4,1,2
devour,telic,imperf,iter,spec,7,1,4,7,6,1,3,2,2,5,7,1,7,2,5,7,1,2,3,2,2,3,1,2,3,1,4,5,1,1
devour,telic,perf,noiter,spec,6,1,4,4,1,2,2,2,2,3,7,1,3,2,4,7,1,2,2,1,3,1,1,2,2,1,1,7,1,2
devour,telic,perf,iter,spec,2,2,4,4,1,1,2,1,2,2,6,1,7,2,5,7,1,2,4,1,3,1,1,2,2,2,3,2,1,2
doodle,atelic,imperf,noiter,spec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,7,7,7,7,7
doodle,atelic,imperf,iter,spec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,6,7,7,7,7,7
doodle,atelic,perf,noiter,spec,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,5,7,7,6,6,6,7,7,7,7
doodle,atelic,perf,iter,spec,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,5,7,5,7,7,6,7
drink,atelic,imperf,noiter,nospec,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,6,7,7,6,7,7,7,7,5,7,7,7,7
drink,atelic,imperf,iter,nospec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,7,7,6,7,7,7,7,7,7
drink,atelic,perf,noiter,nospec,7,6,7,5,7,1,5,5,2,5,7,5,4,7,4,1,7,4,5,3,5,7,6,5,6,5,4,5,1,7
drink,atelic,perf,iter,nospec,7,7,7,7,7,5,7,5,7,6,7,7,6,7,3,7,7,4,7,7,7,5,5,4,7,3,4,1,6,7
eat,atelic,imperf,noiter,nospec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7
eat,atelic,imperf,iter,nospec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
eat,atelic,perf,noiter,nospec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,7,7,7,7,7
eat,atelic,perf,iter,nospec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,6,7,7,7,7,7,7
embroider,atelic,imperf,noiter,spec,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,6,7,7,3,7,7,7,7,7,7,7,7,7
embroider,atelic,imperf,iter,spec,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,6,7,7,3,7,7,5,6,7,7,7,6,7
embroider,atelic,perf,noiter,spec,7,7,7,6,7,6,5,5,7,7,7,7,7,7,7,7,7,6,7,7,3,7,4,5,6,4,5,6,7,6
embroider,atelic,perf,iter,spec,7,7,7,5,7,5,5,7,7,7,7,7,7,7,7,7,7,5,5,7,2,7,5,5,5,3,4,7,6,2
hum,atelic,imperf,noiter,spec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7
hum,atelic,imperf,iter,spec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,7,7,7,7,7,7,7,7,7
hum,atelic,perf,noiter,spec,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,6,7,7,5,7,4,7,7,7,7
hum,atelic,perf,iter,spec,7,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7,5,5,7,6,7,7,6,7,4,7,5,6,2
kill,telic,imperf,noiter,nospec,1,2,7,7,5,6,1,6,7,3,7,5,5,6,5,7,7,5,4,6,5,3,5,5,6,3,5,6,1,2
kill,telic,imperf,iter,nospec,7,3,7,7,7,7,7,7,7,7,7,7,7,6,5,7,7,6,5,7,6,7,6,5,7,3,7,6,2,6
kill,telic,perf,noiter,nospec,7,5,7,7,7,6,5,7,7,6,7,7,7,7,6,7,7,5,7,7,7,7,6,5,6,5,4,2,7,6
kill,telic,perf,iter,nospec,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,7,7,6,6,7,7,5,6,7,7,7,7,5,7,7
knife,telic,imperf,noiter,spec,6,1,7,4,2,2,3,1,1,1,6,4,6,2,4,7,5,5,6,4,3,1,2,3,5,1,2,1,3,1
knife,telic,imperf,iter,spec,4,1,1,5,7,2,4,1,1,2,6,4,2,4,5,7,7,2,4,6,3,7,2,2,5,1,3,1,1,2
knife,telic,perf,noiter,spec,1,1,1,4,2,2,2,1,1,3,6,4,3,1,5,7,7,3,7,1,5,4,2,3,4,1,1,1,1,1
knife,telic,perf,iter,spec,5,2,4,5,2,3,3,2,1,5,7,4,7,3,5,7,7,3,6,4,5,7,2,2,3,1,1,1,1,1
poison,telic,imperf,noiter,spec,6,1,4,5,5,2,5,2,7,1,6,5,5,5,5,7,5,2,5,2,3,1,2,3,3,6,3,4,1,1
poison,telic,imperf,iter,spec,7,2,7,4,7,5,3,2,7,4,7,5,6,5,5,7,7,2,6,4,3,1,3,5,3,4,4,6,1,1
poison,telic,perf,noiter,spec,2,1,4,4,2,4,3,1,7,3,7,5,4,5,5,7,7,2,5,2,5,1,2,3,2,1,1,1,3,2
poison,telic,perf,iter,spec,7,7,7,5,5,7,7,4,7,5,7,5,7,2,5,7,7,4,7,7,4,1,1,4,3,3,4,2,3,1
polish,atelic,imperf,noiter,spec,7,6,7,5,7,7,7,7,7,6,7,7,4,7,5,7,7,6,7,6,7,1,7,5,5,7,4,7,5,2
polish,atelic,imperf,iter,spec,7,7,7,5,5,7,7,7,7,6,7,7,7,7,5,7,7,6,7,7,7,1,6,6,5,6,5,7,6,2
polish,atelic,perf,noiter,spec,7,5,7,4,5,7,7,5,7,6,7,7,3,7,5,7,7,5,6,2,7,1,5,5,5,3,4,5,5,4
polish,atelic,perf,iter,spec,6,4,7,4,7,7,3,6,7,6,7,7,3,5,5,4,7,6,5,3,3,1,5,3,3,6,3,1,1,2
pour,atelic,imperf,noiter,nospec,7,6,7,5,7,5,6,4,7,2,7,7,3,7,1,7,7,2,7,6,6,1,7,5,6,1,5,1,1,1
pour,atelic,imperf,iter,nospec,7,7,7,4,1,3,7,5,7,1,7,7,2,7,1,7,7,3,6,4,3,1,6,6,3,7,5,7,1,2
pour,atelic,perf,noiter,nospec,2,6,4,4,2,6,2,5,7,1,7,5,5,6,1,7,7,4,6,5,5,1,6,5,6,5,5,7,1,4
pour,atelic,perf,iter,nospec,7,7,4,4,2,4,7,6,1,2,7,5,5,4,1,7,7,2,5,4,6,1,3,4,6,3,5,7,6,2
sew,atelic,imperf,noiter,nospec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7
sew,atelic,imperf,iter,nospec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,7,6,7,6,7,7,6,7,7,7,7
sew,atelic,perf,noiter,nospec,7,3,7,6,7,4,5,5,7,6,7,7,7,7,7,7,7,6,5,6,3,7,5,4,5,4,7,7,4,7
sew,atelic,perf,iter,nospec,7,6,7,5,7,4,5,7,7,7,7,7,7,7,7,7,7,6,5,7,7,7,6,4,6,4,6,7,2,7
sign,telic,imperf,noiter,spec,4,5,7,5,2,6,7,5,7,5,7,5,7,2,5,7,7,7,6,6,6,7,7,5,7,7,4,6,7,7
sign,telic,imperf,iter,spec,7,6,7,5,7,6,7,5,7,4,7,5,7,3,5,7,7,6,7,6,7,7,7,5,6,4,3,7,7,2
sign,telic,perf,noiter,spec,2,7,7,5,2,7,7,5,7,4,7,5,7,2,7,7,7,5,7,6,2,7,7,6,6,6,5,7,6,2
sign,telic,perf,iter,spec,5,7,7,5,1,6,7,4,7,4,7,5,6,5,5,7,7,6,6,5,2,7,7,5,6,4,6,7,6,1
sing,atelic,imperf,noiter,nospec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
sing,atelic,imperf,iter,nospec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7
sing,atelic,perf,noiter,nospec,7,6,7,6,7,6,7,7,7,7,7,7,7,7,7,7,7,5,6,7,4,7,7,5,7,6,7,7,7,7
sing,atelic,perf,iter,nospec,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,6,5,7,7,7,7,5,7,5,7,7,7,7
sip,atelic,imperf,noiter,spec,7,7,7,7,3,7,5,5,7,3,6,5,4,7,6,7,7,5,7,6,5,1,4,5,6,6,6,7,5,2
sip,atelic,imperf,iter,spec,5,7,7,5,7,6,7,5,7,5,7,5,5,5,7,7,7,5,6,7,3,1,4,5,7,5,4,7,3,2
sip,atelic,perf,noiter,spec,1,7,4,5,1,5,5,5,7,3,5,5,5,6,5,7,7,3,5,6,3,1,3,2,5,4,7,1,4,2
sip,atelic,perf,iter,spec,4,6,7,5,2,5,5,5,7,2,7,5,6,6,5,7,7,4,7,5,2,1,7,3,5,2,4,7,7,4
slice,telic,imperf,noiter,spec,6,7,7,7,6,6,5,5,7,2,7,6,5,7,5,7,7,6,7,6,7,1,5,4,7,5,7,7,2,3
slice,telic,imperf,iter,spec,7,6,7,7,5,5,5,5,7,3,7,5,3,5,5,7,7,5,5,7,3,1,4,3,7,4,4,7,5,2
slice,telic,perf,noiter,spec,7,5,7,7,2,4,3,4,1,4,7,4,5,6,5,7,1,6,5,5,5,1,5,3,5,2,4,6,1,2
slice,telic,perf,iter,spec,1,6,4,7,3,3,6,5,7,4,6,5,5,5,5,7,7,7,5,5,3,1,3,4,5,4,4,6,1,2
smoke,atelic,imperf,noiter,nospec,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7
smoke,atelic,imperf,iter,nospec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7
smoke,atelic,perf,noiter,nospec,7,6,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,6,5,7,6,7,7,5,7,5,7,7,7,7
smoke,atelic,perf,iter,nospec,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,6,6,7,5,7,7,5,5,1,7,7,7,7
steal,telic,imperf,noiter,nospec,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,5,7,6,5,7,7,6
steal,telic,imperf,iter,nospec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,6,7,6,7,7,6,7
steal,telic,perf,noiter,nospec,7,7,7,7,7,7,5,6,7,7,6,7,7,7,7,7,1,5,7,6,7,7,7,5,6,6,4,7,6,6
steal,telic,perf,iter,nospec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,6,7,7,7,7,6,7,7,6,7,6,7
swig,telic,imperf,noiter,spec,3,7,5,4,5,6,5,6,1,3,7,7,7,5,7,7,7,6,6,5,3,1,4,3,4,2,5,1,3,6
swig,telic,imperf,iter,spec,4,7,7,4,3,6,5,6,1,5,7,5,5,5,5,7,7,5,7,3,3,7,4,3,3,3,6,5,2,2
swig,telic,perf,noiter,spec,5,5,7,4,2,3,5,5,7,3,6,5,3,6,5,7,7,5,5,4,3,1,2,3,3,3,4,5,3,2
swig,telic,perf,iter,spec,7,7,7,5,2,5,7,6,2,3,6,5,7,7,7,4,7,3,7,6,3,1,2,3,4,2,4,1,5,6
teach,atelic,imperf,noiter,nospec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7
teach,atelic,imperf,iter,nospec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7
teach,atelic,perf,noiter,nospec,7,2,7,5,7,6,5,5,7,7,6,7,4,5,7,7,7,3,5,3,2,7,7,5,7,5,6,7,7,6
teach,atelic,perf,iter,nospec,7,7,7,7,7,6,7,7,7,7,7,7,5,5,7,7,7,5,6,6,3,7,7,5,6,4,5,7,6,7
wash,atelic,imperf,noiter,spec,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,3,1,7,5,6,5,4,6,5,7
wash,atelic,imperf,iter,spec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,3,1,6,5,7,5,6,7,4,7
wash,atelic,perf,noiter,spec,7,6,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,6,7,7,7,1,7,5,3,4,4,7,3,7
wash,atelic,perf,iter,spec,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,4,3,7,5,4,2,6,7,4,7
watch,atelic,imperf,noiter,nospec,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,5,6,7,5,3,7,7,7,7,4,7,7,7
watch,atelic,imperf,iter,nospec,6,7,7,6,7,5,7,7,7,6,7,7,7,7,7,7,7,4,6,7,3,1,7,6,7,3,5,7,5,2
watch,atelic,perf,noiter,nospec,7,7,7,4,7,7,7,6,7,7,7,7,6,6,7,7,1,5,6,5,6,5,7,5,6,4,5,2,7,2
watch,atelic,perf,iter,nospec,1,7,7,5,7,4,7,3,7,5,7,7,6,6,7,7,7,2,4,6,5,1,6,3,5,2,4,7,5,1
write,atelic,imperf,noiter,nospec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7
write,atelic,imperf,iter,nospec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
write,atelic,perf,noiter,nospec,7,6,7,5,7,5,7,7,7,6,7,7,7,6,7,7,7,4,7,7,3,7,7,5,7,4,6,6,5,7
write,atelic,perf,iter,nospec,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,6,6,7,3,7,7,6,7,7,7,7,7,7
